排名,片名,导演,编剧,主演,类型,上映日期,片长,豆瓣评分,评价人数,制片地区/国家,语言,又名
No.48,死亡诗社 Dead Poets Society,彼得·威尔,汤姆·舒尔曼,罗宾·威廉姆斯/罗伯特·肖恩·莱纳德/伊桑·霍克/乔西·查尔斯/盖尔·汉森/迪伦·库斯曼/阿勒隆·鲁杰罗/詹姆斯·沃特斯顿/诺曼·劳埃德/柯特伍德·史密斯/卡拉·贝尔韦尔/利昂·波纳尔/乔治·马丁/乔·奥菲耶里/马特·凯里,剧情,1989-06-02(多伦多首映),128 分钟,8.9,292643, 美国, 英语, 暴雨骄阳(港) / 春风化雨(台) / 壮志骄阳
No.49,美丽心灵 A Beautiful Mind,朗·霍华德,阿齐瓦·高斯曼/西尔维娅·纳萨尔,罗素·克劳/詹妮弗·康纳利/艾德·哈里斯/克里斯托弗·普卢默/保罗·贝坦尼/亚当·戈德堡/乔什·卢卡斯,剧情/传记,2001-12-13(加州首映),135 分钟,8.9,318386, 美国, 英语, 有你终生美丽(港) / 美丽境界(台) / 完美大脑
No.50,指环王2：双塔奇兵 The Lord of the Rings: The Two Towers,彼得·杰克逊,弗兰·威尔士/菲利帕·鲍恩斯/Stephen Sinclair/彼得·杰克逊/J·R·R·托尔金,伊利亚·伍德/西恩·奥斯汀/伊恩·麦克莱恩/维果·莫腾森/奥兰多·布鲁姆/克里斯托弗·李/丽芙·泰勒/安迪·瑟金斯/雨果·维文/卡尔·厄本/凯特·布兰切特/多米尼克·莫纳汉/大卫·文翰/比利·博伊德/布拉德·道里夫/伯纳德·希尔/约翰·瑞斯-戴维斯/米兰达·奥图,剧情/动作/奇幻/冒险,2003-04-25(中国大陆),179分钟,9.0,282742, 美国 / 新西兰, 英语 / 辛达林语 / 古代英语, 魔戒二部曲：双城奇谋 / 指环王II：双塔 / 魔戒2：双塔奇谋
No.51,辩护人 변호인,杨宇硕,杨宇硕/尹贤豪,宋康昊/吴达洙/金英爱/郭度沅/任时完,剧情,2013-12-18(韩国),127分钟,9.1,218627, 韩国, 韩语, 逆权大状(港) / 正义辩护人(台) / The Attorney
No.52,指环王1：魔戒再现 The Lord of the Rings: The Fellowship of the Ring,彼得·杰克逊,弗兰·威尔士/菲利帕·鲍恩斯/彼得·杰克逊/J·R·R·托尔金,伊利亚·伍德/西恩·奥斯汀/伊恩·麦克莱恩/维果·莫腾森/奥兰多·布鲁姆/凯特·布兰切特/肖恩·宾/克里斯托弗·李/雨果·维文/丽芙·泰勒/安迪·瑟金斯/伊安·霍姆/多米尼克·莫纳汉/萨拉·贝克/约翰·瑞斯-戴维斯,剧情/动作/奇幻/冒险,2002-04-04(中国大陆),178分钟,8.9,316039, 新西兰 / 美国, 英语 / 辛达林语, 魔戒首部曲：魔戒现身 / 指环王I：护戒使者 / 魔戒1：护戒联盟
No.53,情书 Love Letter,岩井俊二,岩井俊二,中山美穗/丰川悦司/酒井美纪/柏原崇/范文雀/篠原胜之/光石研/小栗香织/酒井敏也/铃木庆一/田口智朗/神户浩/加贺麻理子/中村久美/盐见三省/铃木兰兰,剧情/爱情,1999-03(中国大陆),117分钟,8.8,392217, 日本, 日语, When I Close My Eyes / Letters of Love
No.54,饮食男女 飲食男女,李安,李安/王蕙玲/詹姆斯·夏慕斯,吴倩莲/杨贵媚/王渝文/郎雄/张艾嘉/归亚蕾/赵文瑄/陈昭荣,剧情/家庭,1994-08-03(美国),124 分钟,9.1,209478, 台湾 / 美国, 汉语普通话 / 闽南语 / 湖南话, Eat Drink Man Woman
No.55,美国往事 Once Upon a Time in America,赛尔乔·莱翁内,皮耶罗·德·贝纳迪/莱奥纳多·本韦努蒂/弗兰科·奥卡利/恩里科·梅迪欧力/弗兰科·费里尼/赛尔乔·莱翁内,罗伯特·德尼罗/詹姆斯·伍兹/伊丽莎白·麦戈文/乔·佩西/波特·杨/塔斯黛·韦尔德/特里特·威廉斯/丹尼·爱罗/理查德·布赖特/詹姆斯·海登/威廉·弗西斯/达兰妮·弗鲁格/拉里·拉普/理查德·弗让吉/罗伯特·哈珀/詹妮弗·康纳利,剧情/犯罪,1984-02-17(波士顿首映),229分钟(导演剪辑版),9.1,182665, 意大利 / 美国, 英语 / 法语 / 意大利语, 四海兄弟(台) / 义薄云天(港)
No.56,天使爱美丽 Le fabuleux destin d'Amélie Poulain,让-皮埃尔·热内,纪尧姆·洛朗/让-皮埃尔·热内,奥黛丽·塔图/马修·卡索维茨/吕菲斯/洛莱拉·克拉沃塔/塞尔日·梅兰/贾梅尔·杜布兹/克洛蒂尔德·莫勒/克莱尔·莫里耶/伊莎贝尔·南蒂/多米尼克·皮侬/阿尔蒂斯·德·彭居埃恩/友兰达·梦露/于尔班·康塞利埃/莫里斯·贝尼舒/米歇尔·罗班/安德烈·达芒/克洛德·佩隆/阿尔梅尔/迪基·奥尔加多/Kevin Fernandes/弗洛拉·吉耶/阿莫里·巴博尔/欧仁·贝蒂埃/让·达里/马克·阿米约,喜剧/爱情,2001-04-25(法国),122分钟,8.7,499915, 法国 / 德国, 法语 / 俄语, 艾蜜莉的异想世界(台) / 天使艾米莉 / 天使艾美丽 / 阿梅丽的奇妙命运 / 艾蜜丽 / Amelie
No.57,钢琴家 The Pianist,罗曼·波兰斯基,罗纳德·哈伍德,艾德里安·布洛迪/托马斯·克莱舒曼/艾米莉娅·福克斯/米哈乌·热布罗夫斯基/埃德·斯托帕德/穆琳·利普曼/弗兰克·芬莱/邱莉娅蕾娜/杰西卡·凯特·梅耶尔/理查德·赖丁斯,剧情/传记/历史/战争,2002-05-24(戛纳电影节),150分钟,9.0,210810, 法国 / 德国 / 英国 / 波兰, 英语 / 德语 / 俄语, 战地琴人 / 钢琴战曲 / 钢琴师
